N	MeanD	Volume
1	3.59197756	967767
2	1.282011499	4198321
3	1.214203688	3977886
4	1.464789943	2907109
5	1.628030846	2682480
6	1.329447315	3200105
7	1.248890114	3416675
8	1.651244817	2162287
9	1.827896876	2273818
10	0.914014858	4741965
11	1.88934481	2255097
12	1.488992264	3008616
13	0.921237894	4898007
14	1.317976868	3260314
15	1.216890504	4009922
16	1.343815402	2895455
17	1.727715309	2535168
18	1.278841582	3423134
19	1.18993679	3950114
20	1.104393043	4181879
21	1.672111505	2446923
22	1.530522735	2943821
23	1.176550504	4510749
24	1.440505594	2765731
25	1.662246747	2314507
26	1.657650624	2514131
27	1.456736968	2935897
28	1.788189911	2007429
29	1.860775844	2432506
30	1.810086532	2738515
31	2.126028111	1936731
32	2.032319933	1856988
33	1.811291972	2309761
34	1.649827354	2981887
35	1.512122574	3490986
36	3.165583002	1276731
37	1.760538281	2278762
38	1.930663599	2167268
39	1.70269831	2626142
40	1.920803376	1984249
41	2.157116725	2014572
42	1.241421631	3446421
43	1.644339356	2458040
44	1.281372382	3444929
45	1.300866461	2974457
46	1.687925764	2323758
47	1.513957119	2883040
48	1.172717542	3917994
49	1.596445708	2683452
50	1.817594475	2347308
51	1.505297166	2802818
52	1.606338819	2435287
53	1.364084811	3199627
54	1.004643895	4613640
55	0.94787097	7394253
56	1.330826544	3439660
57	1.465997496	3060779
58	1.723950429	2215971
59	1.401859236	2991397
60	1.676020347	2678118
61	1.747041629	2384151
62	1.552886198	2684434
63	1.663776777	2697076
64	1.349688831	3397285
65	1.455981672	3269267
66	1.928062802	2135310
67	1.807749167	1921708
68	1.686956699	2553974
69	1.45356243	2779164
70	1.334372554	3249380
71	1.76868167	2509038
72	1.29450541	3652473
73	1.255195471	3332517
74	1.632560775	2917775
75	1.668096149	2548168
76	1.558948208	3314912
77	1.716010606	2475939
78	1.317327482	4256648
79	1.38513379	2955013
80	1.48254847	3101159
81	1.824260531	2511695
82	1.035498788	4677917
83	1.745056116	2260022
84	2.030434003	2330625
85	1.253577956	4182488
86	1.371960008	3148328
87	1.066256361	5072427
88	1.484191764	3503339
89	1.349916636	2989343
90	1.617989615	2565058
91	1.573370223	2443429
92	1.04185125	4566918
93	1.00228888	4017073
94	1.347114117	3057770
95	0.992125101	4902003
96	0.672186934	6884549
97	1.054099177	3856923
98	0.810201536	5055228
99	0.935308237	4592217
100	0.858185155	5237218
101	1.285785698	3617965
102	1.355124146	3286788
103	3.341083245	1133181
104	1.155670872	4148294
105	0.968075392	5156828
106	1.287002475	3227212
107	1.373828655	3463840
108	1.949961629	2249730
109	1.055365417	4403022
110	1.170628235	3806197
111	0.939163412	5011073
112	1.486357997	3127985
113	1.535192359	2676049
114	0.796506621	5900107
115	1.073183193	4241122
116	1.250742239	4286521
117	0.949360101	7398751
118	0.987465411	5481997
119	1.332346236	3931893
120	1.299163396	3622599
121	1.123670722	4259116
122	1.807413099	2214694
123	2.16500935	1833626
124	1.597848215	2956866
125	1.751906334	2311252
126	1.553931357	3395500
127	1.31924891	3919297
128	2.84585845	1433339
129	3.132527666	1088222
130	1.652643833	2714314
131	1.447056113	2887770
132	1.756855451	2480747
133	2.428596022	1773351
134	1.728958107	2585363
135	1.58798097	2494624
136	1.311552373	3291012
137	1.381868617	3307651
138	1.148330781	3472941
139	1.476761304	2674729
140	1.191269925	3735397
141	1.640255824	2914384
142	1.593213125	3010133
143	1.985669567	2369317
144	1.666960147	2439684
145	2.411007546	1820369
146	1.524923009	2684250
147	2.02677404	2357062
148	2.401112839	1636363
149	1.662148227	2685412
150	1.93234999	2281222
151	1.423871746	3094101
152	0.767676102	7454387
153	1.548539235	2905035
154	2.275565527	1882214
155	1.714498833	2576864
156	1.396048049	3085579
157	1.637649967	2833112
158	1.740521479	2994947
159	1.856649552	2878727
160	1.577572877	2889876
161	2.088006913	2148150
162	1.893736804	2497660
163	2.416820295	1533782
164	1.431684973	3000571
165	1.772816732	2156264
166	1.410359429	3115656
167	1.837079726	1730732
168	2.785255648	1109875
169	1.921633601	1914851
170	2.236371257	1613227
171	1.675702115	2149301
172	1.697164681	2115330
173	2.500308931	1959096
174	2.094608234	1935720
175	1.706608188	2310313
176	1.816981826	2489680
177	1.629544785	2197199
178	1.993736562	2471784
179	1.868444872	2589490
180	2.098903849	2004711
181	1.858815464	2189719
182	1.455918909	5769094
183	1.975401514	2009533
184	1.179867405	3789740
185	1.780284594	2413940
186	1.596311992	2767025
187	1.549432424	2384954
188	1.94302154	1961633
189	1.312339682	3260435
190	1.267176927	3280003
191	1.650060153	2194865
192	1.910799525	1725733
193	1.889222087	1828518
194	2.064321693	1631984
195	1.070907884	4282519
196	1.105340998	4543267
197	1.498742527	2772401
198	1.933522649	1871284
199	1.147995045	3966561
200	1.731188057	2093844
201	1.473618532	2348192
202	1.21184707	3048811
203	1.675922656	2299419
204	1.132160667	3970862
205	1.499076311	2789317
206	1.924614171	2074281
207	1.596046314	2899785
208	1.984347848	1855018
209	1.836083002	1864730
210	2.027846908	1849414
211	1.987151981	2089581
212	1.393533398	3423413
213	1.693892989	2429519
214	1.726374887	2399452
215	1.930806168	2359730
216	1.289466665	3333583
217	0.975544446	4982067
218	1.417275896	3778529
219	1.316186129	3845860
220	1.359572729	3252600
221	1.115176639	4344631
222	1.662867905	2520742
223	1.801354373	2104424
224	1.67547225	2399382
225	1.829484034	2441545
226	1.362491849	2793575
227	1.507424754	3019564
228	1.729241957	2533214
229	2.044962326	1790511
230	1.847798011	1961789
231	2.379391938	1487605
232	1.208800502	3492903
233	0.971304243	4191441
234	0.986953129	4721773
235	1.469726642	2574534
236	1.270223851	3067716
237	1.226669235	3161526
238	1.641948953	2280393
239	1.42602783	2790871
240	1.762779796	2075285
241	1.505304655	2857405
242	1.316247676	3123849
243	1.755084636	2275113
244	1.626583281	2278683
245	1.715213088	2336651
246	1.3445553	3249838
247	1.205436215	5980057
248	1.654190261	2546439
249	1.527001947	2361099
250	2.075374377	1567750
251	2.374952176	1261863
252	2.044762469	1498471
253	2.521240973	1138454
254	2.576131253	1102046
255	2.864458956	609966
256	2.411331472	1441879
257	1.514325044	2285065
258	1.337457101	2684187
259	1.318696877	2909213
260	1.431858358	2533357
261	1.173948136	3198743
262	0.966362732	4213109
263	0.869767964	4538777
264	1.439983937	2309556
265	2.055245217	1512790
266	1.904748649	1751083
267	1.434407739	2372534
268	0.546362605	8416251
269	0.747693682	5062527
270	1.000086835	3120772
271	1.066303481	3336357
272	1.214916059	3246492
273	1.28016598	3278697
274	1.047166838	3600197
275	1.285481213	3118959
276	0.972092454	4047966
277	1.092793255	3618022
278	1.09264914	3995829
279	1.470726607	3016277
280	1.755248267	2068861
281	1.60753275	2445236
282	1.778687652	2251220
283	1.567237757	2606452
284	2.191179569	2054766
285	1.306344849	2648900
286	1.853548095	2095517
287	1.890115524	2249788
288	1.695677496	2273126
289	1.815734801	2737114
290	2.385369097	1369745
291	1.663084094	2134780
292	1.441138159	2462740
293	0.560688888	11336982
294	0.998605396	4049287
295	0.708555784	6696793
296	0.518870097	6413503
297	0.491375453	6769571
298	0.45189321	7050816
299	0.694085809	4510058
300	0.618796804	4730927
301	0.968899875	3305611
302	1.292905082	2630751
303	0.975819714	3512777
304	1.224017969	2414193
305	1.272248968	2202955
306	1.116758651	3066948
307	0.53791748	6728084
308	0.797460845	4722845
309	0.729211265	9430480
310	1.198781973	3015412
311	1.27540261	2481536
312	1.654228647	2225345
313	0.776517011	5673762
314	1.04967329	2775588
315	0.998729772	3349717
316	1.382841265	2107642
317	1.081371592	3202486
318	1.48911727	2008357
319	1.361623658	2282588
320	1.278974791	2603157
321	0.889922049	3991821
322	1.275592473	2284511
323	1.965358308	1878015
324	1.192132735	2499201
325	0.949417753	3371809
326	0.989958787	3085691
327	1.154956701	3056324
328	0.911162049	4077012
329	0.859812274	3253120
330	0.943337467	3253687
331	0.98148298	3335623
332	0.89744759	5262960
333	1.272453051	2363306
334	1.009112893	3626004
335	1.170889195	2668845
336	0.941498269	3944098
337	0.852971101	4732120
338	1.182452543	3213738
339	0.995248483	3885761
340	1.022327731	3493185
341	1.091383966	3306709
342	2.009202793	1712565
343	0.966529926	4351316
344	1.121318665	3609578
345	1.066780625	2735827
346	0.763290699	4406573
347	1.060315935	2984087
348	0.9039125	3550938
349	1.158602628	2754306
350	1.896120654	1842258
351	0.98667473	4788142
352	1.248080448	2387933
353	1.004698694	3732868
354	1.140195003	3313394
355	1.068977928	3359808
356	1.089938006	3097394
357	1.62112824	2056871
358	1.082848018	3315461
359	0.90559164	4439794
360	0.614740496	8059126
361	0.700221925	5152423
362	0.738010063	5246228
363	0.712618022	4964431
364	0.48950898	6677326
365	0.448023326	8516390
366	0.703142339	5691627
367	0.661158359	4751084
368	0.624116431	5579965
369	0.902817528	3844420
370	0.619472386	14663757
371	0.770151788	4244193
372	1.068756869	2895285
373	0.62503006	6855657
374	0.612106612	5542401
375	0.797871441	4829433
376	0.865571718	4121370
377	0.70663238	4491292
378	0.560202257	6251411
379	1.183948601	2676454
380	0.967202273	3357995
381	0.926261943	3403324
382	1.147756113	2882989
383	2.129918396	1528441
384	0.989405968	3315642
385	1.316665375	2863504
386	1.668538325	1996115
387	0.797071385	4974195
388	0.513816188	5517784
389	1.035027958	3402639
390	0.932975633	4198461
391	1.230350431	2414415
392	1.235638089	2486957
393	0.931571014	3891049
394	1.450011952	2282300
395	1.068644977	3516319
396	1.082884307	2718527
397	0.860989175	4009903
398	0.567238481	6296967
