Countrycode;AirQualityStation;AirQualityStationEoICode;AirPollutant;AveragingTime;Concentration;UnitOfMeasurement;DatetimeBegin;DatetimeEnd;Validity;Verification
DE;STA.DE_DEBB007;DEBB007;O3;hour;41.51;µg/m3;2013-01-01 00:00:00 +01:00;2013-01-01 01:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;41.74;µg/m3;2013-01-01 01:00:00 +01:00;2013-01-01 02:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;44.03;µg/m3;2013-01-01 02:00:00 +01:00;2013-01-01 03:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;44.84;µg/m3;2013-01-01 03:00:00 +01:00;2013-01-01 04:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;49.84;µg/m3;2013-01-01 04:00:00 +01:00;2013-01-01 05:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;53.66;µg/m3;2013-01-01 05:00:00 +01:00;2013-01-01 06:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;56.95;µg/m3;2013-01-01 08:00:00 +01:00;2013-01-01 09:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;64.45;µg/m3;2013-01-01 09:00:00 +01:00;2013-01-01 10:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;57.17;µg/m3;2013-01-01 11:00:00 +01:00;2013-01-01 12:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;63.17;µg/m3;2013-01-01 12:00:00 +01:00;2013-01-01 13:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;68.39;µg/m3;2013-01-01 13:00:00 +01:00;2013-01-01 14:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;65.87;µg/m3;2013-01-01 14:00:00 +01:00;2013-01-01 15:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;65.84;µg/m3;2013-01-01 15:00:00 +01:00;2013-01-01 16:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;59.18;µg/m3;2013-01-01 19:00:00 +01:00;2013-01-01 20:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;56.37;µg/m3;2013-01-01 20:00:00 +01:00;2013-01-01 21:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;53.93;µg/m3;2013-01-01 21:00:00 +01:00;2013-01-01 22:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;53.95;µg/m3;2013-01-01 23:00:00 +01:00;2013-01-02 00:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;60.84;µg/m3;2013-01-02 00:00:00 +01:00;2013-01-02 01:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;63.31;µg/m3;2013-01-02 01:00:00 +01:00;2013-01-02 02:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;60.19;µg/m3;2013-01-02 03:00:00 +01:00;2013-01-02 04:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;57.59;µg/m3;2013-01-02 04:00:00 +01:00;2013-01-02 05:00:00 +01:00;1;1
