N	MeanD	Volume
1	9.36734377	703965
2	4.19902565	1929284
3	4.388013614	1850830
4	6.230506198	1212952
5	4.842556852	2010258
6	4.065643402	2137779
7	4.589378264	1910191
8	4.445879194	2361518
9	4.026171303	3087355
10	4.237562619	2165820
11	6.444322418	1206080
12	4.64571207	2332208
13	4.043649085	2346488
14	4.879654534	2002956
15	3.357805116	3865499
16	3.540031367	2377223
17	4.473627208	2615116
18	2.224877741	5899330
19	3.407965009	2653228
20	3.032040018	3289304
21	4.655230569	1639425
22	4.031691883	2413061
23	3.162009182	2761075
24	2.83524061	3519999
25	2.644585886	3533330
26	4.125880684	2295176
27	3.245358266	3331991
28	4.355877105	1962607
29	3.677680248	2235303
30	2.606212424	3672745
31	1.816156515	5238054
32	2.363294116	4226919
33	3.502645072	2416813
34	3.255009366	2694436
35	4.937731106	1868059
36	5.319758601	1619818
37	3.848498463	2418137
38	3.79786449	2476997
39	4.723882855	1811564
40	4.521754824	1739074
41	5.285092475	1634296
42	1.812550964	5056973
43	3.960848764	1745245
44	2.98231462	2370661
45	4.05745901	1559620
46	3.591182523	2239424
47	3.637036838	2193971
48	2.768406399	3314024
49	1.976722312	5487055
50	3.134945243	2688359
51	6.247126767	1354940
52	1.663095137	6974558
53	1.248386096	10281229
54	1.906407633	6098706
55	2.231130161	5663148
56	3.684034416	2293903
57	4.673624261	1734550
58	1.874049414	5722582
59	2.437366895	3874336
60	2.316593147	3947431
61	3.138333743	2491403
62	2.894589628	3019489
63	3.974195277	1572790
64	4.201501927	1977214
65	3.855195568	1711476
66	4.451490744	1823856
67	3.973688321	1686103
68	4.309213595	1981087
69	3.063444463	2598897
70	2.536782692	3611667
71	3.931851551	1997353
72	2.892214276	3356264
73	3.082461975	2157601
74	4.405473476	1731376
75	3.985527516	1586734
76	4.23984147	2020988
77	3.327358989	2046672
78	4.716597994	1752571
79	5.785733871	1059344
80	3.439689343	1792906
81	4.317304372	1389427
82	3.404185258	1881564
83	3.452163053	2241913
84	3.134271873	2234537
85	2.252326998	3535089
86	3.89404536	2213138
87	5.23121545	1447125
88	3.598340039	2952629
89	3.885154079	1960135
90	3.502228404	2258296
91	4.306012088	1829118
92	1.692048334	5574187
93	1.984776751	4498059
94	3.609764602	2072182
95	2.362727498	3529201
96	2.026121227	3587788
97	3.271397885	2309756
98	2.769512011	2470340
99	2.7185368	3408700
100	2.652236104	2956806
101	3.933834979	2173832
102	2.453842944	3897183
103	7.63550934	691034
104	3.587220463	2297566
105	3.575415791	2215447
106	3.276647485	2110282
107	3.080780257	2264207
108	4.803383611	1492507
109	2.669690569	3119421
110	3.381729059	2297622
111	2.356595151	3902232
112	3.757403487	2388579
113	3.989755248	1943098
114	2.012311643	3753456
115	2.821564693	2769658
116	3.314428393	2872612
117	2.765838332	4624626
118	4.031352785	1892800
119	3.369069004	2679703
120	3.505813263	2437915
121	5.139067127	1522879
122	6.204691785	1244174
123	6.341898389	1084902
124	4.922615393	1448655
125	4.954049655	1761872
126	3.9258187	1968862
127	4.417260375	1709299
128	5.344484302	1187208
129	6.898862242	1120228
130	4.899821544	2007146
131	3.729345829	2425962
