Entity;Year;RealGDP
China;1911;804
China;1912;842
China;1913;881
China;1929;950
China;1930;962
China;1931;968
China;1932;994
China;1933;886
China;1934;902
China;1935;973
China;1936;1028
China;1937;997
China;1938;965
China;1950;757
China;1951;899
China;1952;989
China;1953;1098
China;1954;989
China;1955;1062
China;1956;1101
China;1957;1103
China;1958;1073
China;1959;988
China;1960;923
China;1961;799
China;1962;866
China;1963;950
China;1964;1050
China;1965;1134
China;1966;1147
China;1967;1151
China;1968;1093
China;1969;1172
China;1970;1291
China;1971;1355
China;1972;1307
China;1973;1372
China;1974;1378
China;1975;1425
China;1976;1384
China;1977;1413
China;1978;1583
China;1979;1648
China;1980;1690
China;1981;1675
China;1982;1826
China;1983;1907
China;1984;2120
China;1985;2310
China;1986;2409
China;1987;2510
China;1988;2571
China;1989;2509
China;1990;2460
China;1991;2550
China;1992;2731
China;1993;2997
China;1994;3135
China;1995;3302
China;1996;3494
China;1997;3540
China;1998;3554
China;1999;3765
China;2000;4071
China;2001;4400
China;2002;4793
China;2003;5122
China;2004;5595
China;2005;6338
China;2006;6937
China;2007;7482
China;2008;7741
China;2009;8394
China;2010;9475
China;2011;10221
China;2012;10654
China;2013;11088
China;2014;11708
China;2015;12002
China;2016;12320
