observation_date	US_GDPC1
1	1934.5
2	1932.3
3	1930.3
4	1960.7
5	1989.5
6	2021.9
7	2033.2
8	2035.3
9	2007.5
10	2000.8
11	2022.8
12	2004.7
13	2084.6
14	2147.6
15	2230.4
16	2273.4
17	2304.5
18	2344.5
19	2392.8
20	2398.1
21	2423.5
22	2428.5
23	2446.1
24	2526.4
25	2573.4
26	2593.5
27	2578.9
28	2539.8
29	2528.0
30	2530.7
31	2559.4
32	2609.3
33	2683.8
34	2727.5
35	2764.1
36	2780.8
37	2770.0
38	2792.9
39	2790.6
40	2836.2
41	2854.5
42	2848.2
43	2875.9
44	2846.4
45	2772.7
46	2790.9
47	2855.5
48	2922.3
49	2976.6
50	3049.0
51	3043.1
52	3055.1
53	3123.2
54	3111.3
55	3119.1
56	3081.3
57	3102.3
58	3159.9
59	3212.6
60	3277.7
61	3336.8
62	3372.7
63	3404.8
64	3418.0
65	3456.1
66	3501.1
67	3569.5
68	3595.0
69	3672.7
70	3716.4
71	3766.9
72	3780.2
73	3873.5
74	3926.4
75	4006.2
76	4100.6
77	4201.9
78	4219.1
79	4249.2
80	4285.6
81	4324.9
82	4328.7
83	4366.1
84	4401.2
85	4490.6
86	4566.4
87	4599.3
88	4619.8
89	4691.6
90	4706.7
91	4736.1
92	4715.5
93	4707.1
94	4715.4
95	4757.2
96	4708.3
97	4834.3
98	4861.9
99	4900.0
100	4914.3
101	5002.4
102	5118.3
103	5165.4
104	5251.2
105	5380.5
106	5441.5
107	5411.9
108	5462.4
109	5417.0
110	5431.3
111	5378.7
112	5357.2
113	5292.4
114	5333.2
115	5421.4
116	5494.4
117	5618.5
118	5661.0
119	5689.8
120	5732.5
121	5799.2
122	5913.0
123	6017.6
124	6018.2
125	6039.2
126	6274.0
127	6335.3
128	6420.3
129	6433.0
130	6440.8
131	6487.1
132	6503.9
133	6524.9
134	6392.6
135	6382.9
136	6501.2
137	6635.7
138	6587.3
139	6662.9
140	6585.1
141	6475.0
142	6510.2
143	6486.8
144	6493.1
145	6578.2
146	6728.3
147	6860.0
148	7001.5
149	7140.6
150	7266.0
151	7337.5
152	7396.0
153	7469.5
154	7537.9
155	7655.2
156	7712.6
157	7784.1
158	7819.8
159	7898.6
160	7939.5
161	7995.0
162	8084.7
163	8158.0
164	8292.7
165	8339.3
166	8449.5
167	8498.3
168	8610.9
169	8697.7
170	8766.1
171	8831.5
172	8850.2
173	8947.1
174	8981.7
175	8983.9
176	8907.4
177	8865.6
178	8934.4
179	8977.3
180	9016.4
181	9123.0
182	9223.5
183	9313.2
184	9406.5
185	9424.1
186	9480.1
187	9526.3
188	9653.5
189	9748.2
190	9881.4
191	9939.7
192	10052.5
193	10086.9
194	10122.1
195	10208.8
196	10281.2
197	10348.7
198	10529.4
199	10626.8
200	10739.1
201	10820.9
202	10984.2
203	11124.0
204	11210.3
205	11321.2
206	11431.0
207	11580.6
208	11770.7
209	11864.7
210	11962.5
211	12113.1
212	12323.3
213	12359.1
214	12592.5
215	12607.7
216	12679.3
217	12643.3
218	12710.3
219	12670.1
220	12705.3
221	12822.3
222	12893.0
223	12955.8
224	12964.0
225	13031.2
226	13152.1
227	13372.4
228	13528.7
229	13606.5
230	13706.2
231	13830.8
232	13950.4
233	14099.1
234	14172.7
235	14291.8
236	14373.4
237	14546.1
238	14589.6
239	14602.6
240	14716.9
241	14726.0
242	14838.7
243	14938.5
244	14991.8
245	14889.5
246	14963.4
247	14891.6
248	14577.0
249	14375.0
250	14355.6
251	14402.5
252	14541.9
253	14604.8
254	14745.9
255	14845.5
256	14939.0
257	14881.3
258	14989.6
259	15021.1
260	15190.3
261	15291.0
262	15362.4
263	15380.8
264	15384.3
265	15457.2
266	15500.2
267	15614.4
268	15761.5
269	15724.9
270	15901.5
271	16068.8
272	16151.4
273	16177.3
274	16333.6
275	16414.0
276	16470.6
277	16492.7
