LOCATION;INDICATOR;SUBJECT;MEASURE;FREQUENCY;TIME;Value;Flag Codes
G-7;QGDP;VOLIDX;IDX;Q;1962-Q1;21.7;
G-7;QGDP;VOLIDX;IDX;Q;1962-Q2;21.9;
G-7;QGDP;VOLIDX;IDX;Q;1962-Q3;22.2;
G-7;QGDP;VOLIDX;IDX;Q;1962-Q4;22.3;
G-7;QGDP;VOLIDX;IDX;Q;1963-Q1;22.3;
G-7;QGDP;VOLIDX;IDX;Q;1963-Q2;22.9;
G-7;QGDP;VOLIDX;IDX;Q;1963-Q3;23.4;
G-7;QGDP;VOLIDX;IDX;Q;1963-Q4;23.7;
G-7;QGDP;VOLIDX;IDX;Q;1964-Q1;24.1;
G-7;QGDP;VOLIDX;IDX;Q;1964-Q2;24.4;
G-7;QGDP;VOLIDX;IDX;Q;1964-Q3;24.7;
G-7;QGDP;VOLIDX;IDX;Q;1964-Q4;24.9;
G-7;QGDP;VOLIDX;IDX;Q;1965-Q1;25.3;
G-7;QGDP;VOLIDX;IDX;Q;1965-Q2;25.6;
G-7;QGDP;VOLIDX;IDX;Q;1965-Q3;26.1;
G-7;QGDP;VOLIDX;IDX;Q;1965-Q4;26.5;
G-7;QGDP;VOLIDX;IDX;Q;1966-Q1;27;
G-7;QGDP;VOLIDX;IDX;Q;1966-Q2;27.3;
G-7;QGDP;VOLIDX;IDX;Q;1966-Q3;27.6;
G-7;QGDP;VOLIDX;IDX;Q;1966-Q4;27.7;
G-7;QGDP;VOLIDX;IDX;Q;1967-Q1;28;
G-7;QGDP;VOLIDX;IDX;Q;1967-Q2;28.2;
G-7;QGDP;VOLIDX;IDX;Q;1967-Q3;28.6;
G-7;QGDP;VOLIDX;IDX;Q;1967-Q4;28.9;
G-7;QGDP;VOLIDX;IDX;Q;1968-Q1;29.5;
G-7;QGDP;VOLIDX;IDX;Q;1968-Q2;29.7;
G-7;QGDP;VOLIDX;IDX;Q;1968-Q3;30.4;
G-7;QGDP;VOLIDX;IDX;Q;1968-Q4;30.8;
G-7;QGDP;VOLIDX;IDX;Q;1969-Q1;31.2;
G-7;QGDP;VOLIDX;IDX;Q;1969-Q2;31.6;
G-7;QGDP;VOLIDX;IDX;Q;1969-Q3;31.9;
G-7;QGDP;VOLIDX;IDX;Q;1969-Q4;32.1;
G-7;QGDP;VOLIDX;IDX;Q;1970-Q1;32.3;
G-7;QGDP;VOLIDX;IDX;Q;1970-Q2;32.6;
G-7;QGDP;VOLIDX;IDX;Q;1970-Q3;33.1;
G-7;QGDP;VOLIDX;IDX;Q;1970-Q4;33;
G-7;QGDP;VOLIDX;IDX;Q;1971-Q1;33.4;
G-7;QGDP;VOLIDX;IDX;Q;1971-Q2;33.8;
G-7;QGDP;VOLIDX;IDX;Q;1971-Q3;34.2;
G-7;QGDP;VOLIDX;IDX;Q;1971-Q4;34.3;
G-7;QGDP;VOLIDX;IDX;Q;1972-Q1;34.8;
G-7;QGDP;VOLIDX;IDX;Q;1972-Q2;35.5;
G-7;QGDP;VOLIDX;IDX;Q;1972-Q3;35.9;
G-7;QGDP;VOLIDX;IDX;Q;1972-Q4;36.5;
G-7;QGDP;VOLIDX;IDX;Q;1973-Q1;37.5;
G-7;QGDP;VOLIDX;IDX;Q;1973-Q2;37.9;
G-7;QGDP;VOLIDX;IDX;Q;1973-Q3;37.9;
G-7;QGDP;VOLIDX;IDX;Q;1973-Q4;38.3;
G-7;QGDP;VOLIDX;IDX;Q;1974-Q1;38;
G-7;QGDP;VOLIDX;IDX;Q;1974-Q2;38.1;
G-7;QGDP;VOLIDX;IDX;Q;1974-Q3;38.1;
G-7;QGDP;VOLIDX;IDX;Q;1974-Q4;37.8;
G-7;QGDP;VOLIDX;IDX;Q;1975-Q1;37.5;
G-7;QGDP;VOLIDX;IDX;Q;1975-Q2;37.7;
G-7;QGDP;VOLIDX;IDX;Q;1975-Q3;38.1;
G-7;QGDP;VOLIDX;IDX;Q;1975-Q4;38.7;
G-7;QGDP;VOLIDX;IDX;Q;1976-Q1;39.3;
G-7;QGDP;VOLIDX;IDX;Q;1976-Q2;39.7;
G-7;QGDP;VOLIDX;IDX;Q;1976-Q3;40;
G-7;QGDP;VOLIDX;IDX;Q;1976-Q4;40.4;
G-7;QGDP;VOLIDX;IDX;Q;1977-Q1;40.8;
G-7;QGDP;VOLIDX;IDX;Q;1977-Q2;41.2;
G-7;QGDP;VOLIDX;IDX;Q;1977-Q3;41.6;
G-7;QGDP;VOLIDX;IDX;Q;1977-Q4;41.9;
G-7;QGDP;VOLIDX;IDX;Q;1978-Q1;42.3;
G-7;QGDP;VOLIDX;IDX;Q;1978-Q2;43.2;
G-7;QGDP;VOLIDX;IDX;Q;1978-Q3;43.7;
G-7;QGDP;VOLIDX;IDX;Q;1978-Q4;44.2;
G-7;QGDP;VOLIDX;IDX;Q;1979-Q1;44.4;
G-7;QGDP;VOLIDX;IDX;Q;1979-Q2;45;
G-7;QGDP;VOLIDX;IDX;Q;1979-Q3;45.2;
G-7;QGDP;VOLIDX;IDX;Q;1979-Q4;45.5;
G-7;QGDP;VOLIDX;IDX;Q;1980-Q1;45.6;
G-7;QGDP;VOLIDX;IDX;Q;1980-Q2;45.1;
G-7;QGDP;VOLIDX;IDX;Q;1980-Q3;45.2;
G-7;QGDP;VOLIDX;IDX;Q;1980-Q4;45.7;
G-7;QGDP;VOLIDX;IDX;Q;1981-Q1;46.3;
G-7;QGDP;VOLIDX;IDX;Q;1981-Q2;46.2;
G-7;QGDP;VOLIDX;IDX;Q;1981-Q3;46.5;
G-7;QGDP;VOLIDX;IDX;Q;1981-Q4;46.4;
G-7;QGDP;VOLIDX;IDX;Q;1982-Q1;46.2;
G-7;QGDP;VOLIDX;IDX;Q;1982-Q2;46.4;
G-7;QGDP;VOLIDX;IDX;Q;1982-Q3;46.3;
G-7;QGDP;VOLIDX;IDX;Q;1982-Q4;46.4;
G-7;QGDP;VOLIDX;IDX;Q;1983-Q1;46.9;
G-7;QGDP;VOLIDX;IDX;Q;1983-Q2;47.5;
G-7;QGDP;VOLIDX;IDX;Q;1983-Q3;48.2;
G-7;QGDP;VOLIDX;IDX;Q;1983-Q4;48.9;
G-7;QGDP;VOLIDX;IDX;Q;1984-Q1;49.6;
G-7;QGDP;VOLIDX;IDX;Q;1984-Q2;50;
G-7;QGDP;VOLIDX;IDX;Q;1984-Q3;50.6;
G-7;QGDP;VOLIDX;IDX;Q;1984-Q4;50.9;
G-7;QGDP;VOLIDX;IDX;Q;1985-Q1;51.4;
