Entity;Year;RealGDP
Germany;1850;1386
Germany;1851;1367
Germany;1852;1385
Germany;1853;1373
Germany;1854;1402
Germany;1855;1379
Germany;1856;1487
Germany;1857;1548
Germany;1858;1529
Germany;1859;1520
Germany;1860;1592
Germany;1861;1587
Germany;1862;1701
Germany;1863;1863
Germany;1864;1952
Germany;1865;1996
Germany;1866;2053
Germany;1867;2102
Germany;1868;2274
Germany;1869;2331
Germany;1870;2362
Germany;1871;2390
Germany;1872;2602
Germany;1873;2706
Germany;1874;2890
Germany;1875;2889
Germany;1876;2846
Germany;1877;2808
Germany;1878;2920
Germany;1879;2831
Germany;1880;2792
Germany;1881;2854
Germany;1882;2895
Germany;1883;3050
Germany;1884;3115
Germany;1885;3184
Germany;1886;3192
Germany;1887;3300
Germany;1888;3411
Germany;1889;3484
Germany;1890;3572
Germany;1891;3542
Germany;1892;3667
Germany;1893;3827
Germany;1894;3893
Germany;1895;4044
Germany;1896;4143
Germany;1897;4215
Germany;1898;4346
Germany;1899;4454
Germany;1900;4596
Germany;1901;4442
Germany;1902;4496
Germany;1903;4695
Germany;1904;4833
Germany;1905;4887
Germany;1906;4984
Germany;1907;5153
Germany;1908;5191
Germany;1909;5246
Germany;1910;5386
Germany;1911;5396
Germany;1912;5487
Germany;1913;5587
Germany;1914;4606
Germany;1915;4290
Germany;1916;4267
Germany;1917;4217
Germany;1918;4184
Germany;1919;3561
Germany;1920;3777
Germany;1921;4079
Germany;1922;4328
Germany;1923;3502
Germany;1924;3992
Germany;1925;4316
Germany;1926;4312
Germany;1927;4613
Germany;1928;4682
Germany;1929;4533
Germany;1930;4624
Germany;1931;4413
Germany;1932;4213
Germany;1933;4615
Germany;1934;5181
Germany;1935;5716
Germany;1936;6187
Germany;1937;6525
Germany;1938;6968
Germany;1939;7557
Germany;1940;7566
Germany;1941;8013
Germany;1942;8069
Germany;1943;8294
Germany;1944;8583
Germany;1945;6381
Germany;1946;3139
Germany;1947;3456
Germany;1948;4027
Germany;1949;4674
Germany;1950;5536
Germany;1951;6120
Germany;1952;6718
Germany;1953;7230
Germany;1954;7784
Germany;1955;8728
Germany;1956;9332
Germany;1957;9805
Germany;1958;10150
Germany;1959;10875
Germany;1960;11587
Germany;1961;11776
Germany;1962;12144
Germany;1963;12365
Germany;1964;13196
Germany;1965;13666
Germany;1966;14089
Germany;1967;14055
Germany;1968;14882
Germany;1969;15853
Germany;1970;16581
Germany;1971;16999
Germany;1972;17719
Germany;1973;18498
Germany;1974;18655
Germany;1975;18839
Germany;1976;19929
Germany;1977;20553
Germany;1978;21156
Germany;1979;22021
Germany;1980;22053
Germany;1981;21443
Germany;1982;20991
Germany;1983;21102
Germany;1984;21247
Germany;1985;21377
Germany;1986;22858
Germany;1987;23740
Germany;1988;24887
Germany;1989;25724
Germany;1990;25054
Germany;1991;26568
Germany;1992;27098
Germany;1993;27199
Germany;1994;28297
Germany;1995;29211
Germany;1996;29415
Germany;1997;30586
Germany;1998;31964
Germany;1999;33145
Germany;2000;33975
Germany;2001;34560
Germany;2002;34674
Germany;2003;34976
Germany;2004;35908
Germany;2005;37305
Germany;2006;38784
Germany;2007;41047
Germany;2008;41333
Germany;2009;39480
Germany;2010;41215
Germany;2011;43189
Germany;2012;43198
Germany;2013;44560
Germany;2014;46038
Germany;2015;46426
Germany;2016;46841
