LOCATION;INDICATOR;SUBJECT;MEASURE;FREQUENCY;TIME;Value
GBR;QGDP;VOLIDX;IDX;Q;1955-Q1;22.8
GBR;QGDP;VOLIDX;IDX;Q;1955-Q2;22.8
GBR;QGDP;VOLIDX;IDX;Q;1955-Q3;23.3
GBR;QGDP;VOLIDX;IDX;Q;1955-Q4;23.2
GBR;QGDP;VOLIDX;IDX;Q;1956-Q1;23.4
GBR;QGDP;VOLIDX;IDX;Q;1956-Q2;23.4
GBR;QGDP;VOLIDX;IDX;Q;1956-Q3;23.4
GBR;QGDP;VOLIDX;IDX;Q;1956-Q4;23.5
GBR;QGDP;VOLIDX;IDX;Q;1957-Q1;23.9
GBR;QGDP;VOLIDX;IDX;Q;1957-Q2;23.9
GBR;QGDP;VOLIDX;IDX;Q;1957-Q3;23.8
GBR;QGDP;VOLIDX;IDX;Q;1957-Q4;23.8
GBR;QGDP;VOLIDX;IDX;Q;1958-Q1;24.3
GBR;QGDP;VOLIDX;IDX;Q;1958-Q2;23.8
GBR;QGDP;VOLIDX;IDX;Q;1958-Q3;24.3
GBR;QGDP;VOLIDX;IDX;Q;1958-Q4;24.3
GBR;QGDP;VOLIDX;IDX;Q;1959-Q1;24.5
GBR;QGDP;VOLIDX;IDX;Q;1959-Q2;24.9
GBR;QGDP;VOLIDX;IDX;Q;1959-Q3;25.4
GBR;QGDP;VOLIDX;IDX;Q;1959-Q4;26.1
GBR;QGDP;VOLIDX;IDX;Q;1960-Q1;26.7
GBR;QGDP;VOLIDX;IDX;Q;1960-Q2;26.5
GBR;QGDP;VOLIDX;IDX;Q;1960-Q3;26.9
GBR;QGDP;VOLIDX;IDX;Q;1960-Q4;27.1
GBR;QGDP;VOLIDX;IDX;Q;1961-Q1;27.5
GBR;QGDP;VOLIDX;IDX;Q;1961-Q2;27.6
GBR;QGDP;VOLIDX;IDX;Q;1961-Q3;27.5
GBR;QGDP;VOLIDX;IDX;Q;1961-Q4;27.5
GBR;QGDP;VOLIDX;IDX;Q;1962-Q1;27.6
GBR;QGDP;VOLIDX;IDX;Q;1962-Q2;27.8
GBR;QGDP;VOLIDX;IDX;Q;1962-Q3;28
GBR;QGDP;VOLIDX;IDX;Q;1962-Q4;27.9
GBR;QGDP;VOLIDX;IDX;Q;1963-Q1;28
GBR;QGDP;VOLIDX;IDX;Q;1963-Q2;29.2
GBR;QGDP;VOLIDX;IDX;Q;1963-Q3;29.4
GBR;QGDP;VOLIDX;IDX;Q;1963-Q4;30.1
GBR;QGDP;VOLIDX;IDX;Q;1964-Q1;30.2
GBR;QGDP;VOLIDX;IDX;Q;1964-Q2;30.8
GBR;QGDP;VOLIDX;IDX;Q;1964-Q3;30.9
GBR;QGDP;VOLIDX;IDX;Q;1964-Q4;31.4
GBR;QGDP;VOLIDX;IDX;Q;1965-Q1;31.3
