Year	Real_GDP_per_capita_(year_2009_dollars) 
1790	1107.32 
1791	1139.28 
1792	1186.84 
1793	1243.34 
1794	1366.45 
1795	1410.40 
1796	1412.53 
1797	1398.33 
1798	1415.67 
1799	1471.05 
1800	1509.06 
1801	1535.08 
1802	1535.28 
1803	1513.74 
1804	1524.74 
1805	1556.43 
1806	1579.17 
1807	1530.49 
1808	1486.74 
1809	1552.07 
1810	1589.31 
1811 	1614.19 
1812 	1631.42 
1813 	1676.92 
1814 	1699.98 
1815 	1667.65 
1816 	1622.25 
1817 	1612.73 
1818	1622.02 
1819	1604.18 
1820	1619.22 
1821	1656.99 
1822	1670.87 
1823	1681.97 
1824	1731.03 
1825	1756.41 
1826	1765.80 
1827	1766.86 
1828	1737.58 
1829	1750.79 
1830	1856.05 
1831	1952.39 
1832	2023.52 
1833	2025.12 
1834	1999.84 
1835	2047.65 
1836	2050.11 
1837	2009.95 
1838	2037.10 
1839	2035.24 
1840	1985.49 
1841	1973.28 
1842	1978.82 
1843	2019.28 
1844	2076.50 
1845	2146.22 
1846	2251.54 
1847	2327.55 
1848	2326.31 
1849	2279.05 
1850	2303.20 
1851	2402.44 
1852	2582.97 
1853	2695.84 
1854	2690.78 
1855	2714.95 
1856	2747.65 
1857	2686.24 
1858	2723.35 
1859	2852.99 
1860	2815.12 
1861	2802.83 
1862	3086.54 
1863	3252.86 
1864	3216.16 
1865	3232.46 
1866	3009.74 
1867	2985.35 
1868	3026.86 
1869	3030.43 
1870	3039.95 
1871	3098.76 
1872	3273.76 
1873	3457.76 
1874	3425.25
1875	3339.25 
1876	3405.10 
1877	3503.57 
1878	3547.37 
1879	3884.85 
1880	4123.29 
1881	4530.36 
1882	4642.06 
1883	4635.31 
1884	4445.29 
1885	4359.02 
1886	4622.12 
1887	4866.10 
1888	5039.17 
1889	5076.84 
1890	5467.31 
1891	5413.82 
1892	5561.25
1893	5118.10 
1894	4773.64 
1895	5230.60 
1896	5063.82 
1897	5190.72 
1898	5667.58 
1899	5958.56 
1900	6003.90 
1901	6201.16 
1902	6389.64 
1903	6456.30 
1904	6111.43 
1905	6666.62 
1906	6807.03 
1907	6856.93 
1908	5998.25 
1909	6305.29 
1910	6240.96 
1911	6343.22 
1912	6537.88 
1913	6663.85 
1914	6036.54 
1915	6112.61 
1916	6863.63 
1917	6599.81 
1918	7116.87 
1919	7138.95 
1920	6979.36 
1921	6688.86 
1922	6963.35 
1923	7746.64 
1924	7833.88 
1925	7898.83 
1926	8302.58 
1927	8267.41 
1928	8259.88
1929	8669.00 
1930	7847.00 
1931	7288.00 
1932	6308.00 
1933	6192.00 
1934	6817.00 
1935	7373.00 
1936	8273.00 
1937	8643.00 
1938	8292.00 
1939	8881.00 
1940	9583.00 
1941	11171.00 
1942	13138.00 
1943	15165.00 
1944	16181.00 
1945	15850.00 
1946	13869.00 
1947	13456.00 
1948	13776.00 
1949	13466.00 
1950	14398.00 
1951	15296.00 
1952	15649.00 
1953	16115.00 
1954	15745.00 
1955	16572.00 
1956	16629.00 
1957	16677.00 
1958	16282.00 
1959	17112.00 
1960	17198.00 
1961	17351.00 
1962	18131.00 
1963	18650.00 
1964	19455.00 
1965	20462.00 
1966	21561.00 
1967	21913.00 
1968	22760.00 
1969	23245.00 
1970	23024.00 
1971	23485.00 
1972	24458.00 
1973	25593.00 
1974	25227.00 
1975	24935.00 
1976	26024.00 
1977	26951.00 
1978	28151.00 
1979	28725.00 
1980	28325.00 
1981	28772.00 
1982	27953.00 
1983	28984.00 
1984	30817.00 
1985	31839.00 
1986	32659.00 
1987	33489.00 
1988	34581.00 
1989	35517.00 
1990	35794.00 
1991	35295.00 
1992	36068.00 
1993	36580.00 
1994	37598.00 
1995	38167.00 
1996	39156.00 
1997	40427.00 
1998	41737.00 
1999	43196.00 
2000	44475.00 
2001	44464.00 
2002	44829.00 
2003	45664.00 
2004	46967.00 
2005	48090.00 
2006	48905.00 
2007	49300.00 
2008	48697.00 
2009	46930.00 
2010	47719.00 
2011	48116.00 
2012	48822.00 
2013	49184.00 
2014	50010.00 
2015	50808.00 
