Entity;Year;RealGDP
United States;1800;1980
United States;1801;2017
United States;1802;2050
United States;1803;2015
United States;1804;2014
United States;1805;2056
United States;1806;2094
United States;1807;2114
United States;1808;1965
United States;1809;2062
United States;1810;2120
United States;1811;2163
United States;1812;2125
United States;1813;2149
United States;1814;2190
United States;1815;2180
United States;1816;2092
United States;1817;2091
United States;1818;2097
United States;1819;2092
United States;1820;2080
United States;1821;2113
United States;1822;2171
United States;1823;2147
United States;1824;2205
United States;1825;2254
United States;1826;2270
United States;1827;2279
United States;1828;2279
United States;1829;2204
United States;1830;2364
United States;1831;2509
United States;1832;2600
United States;1833;2691
United States;1834;2562
United States;1835;2660
United States;1836;2699
United States;1837;2614
United States;1838;2591
United States;1839;2717
United States;1840;2583
United States;1841;2529
United States;1842;2507
United States;1843;2547
United States;1844;2685
United States;1845;2728
United States;1846;2743
United States;1847;2816
United States;1848;2888
United States;1849;2814
United States;1850;2825
United States;1851;2940
United States;1852;3089
United States;1853;3300
United States;1854;3310
United States;1855;3237
United States;1856;3305
United States;1857;3233
United States;1858;3248
United States;1859;3336
United States;1860;3425
United States;1861;3354
United States;1862;3459
United States;1863;3683
United States;1864;3804
United States;1865;3607
United States;1866;3579
United States;1867;3697
United States;1868;3745
United States;1869;3845
United States;1870;3736
United States;1871;3825
United States;1872;3883
United States;1873;3980
United States;1874;3862
United States;1875;3971
United States;1876;3928
United States;1877;3966
United States;1878;4044
United States;1879;4446
United States;1880;4866
United States;1881;4914
United States;1882;5101
United States;1883;5102
United States;1884;5074
United States;1885;4997
United States;1886;5034
United States;1887;5147
United States;1888;5015
United States;1889;5216
United States;1890;5184
United States;1891;5299
United States;1892;5697
United States;1893;5316
United States;1894;5064
United States;1895;5569
United States;1896;5356
United States;1897;5761
United States;1898;5776
United States;1899;6191
United States;1900;6252
United States;1901;6822
United States;1902;6756
United States;1903;6955
United States;1904;6739
United States;1905;7094
United States;1906;7762
United States;1907;7740
United States;1908;6970
United States;1909;7668
United States;1910;7586
United States;1911;7711
United States;1912;7948
United States;1913;8101
United States;1914;7334
United States;1915;7434
United States;1916;8342
United States;1917;8020
United States;1918;8648
United States;1919;8681
United States;1920;8485
United States;1921;8134
United States;1922;8466
United States;1923;9420
United States;1924;9525
United States;1925;9601
United States;1926;10090
United States;1927;10050
United States;1928;10040
United States;1929;10543
United States;1930;9490
United States;1931;8864
United States;1932;7525
United States;1933;7270
United States;1934;7876
United States;1935;8850
United States;1936;9718
United States;1937;10450
United States;1938;9797
United States;1939;10459
United States;1940;11307
United States;1941;12844
United States;1942;14175
United States;1943;15392
United States;1944;16401
United States;1945;15992
United States;1946;14471
United States;1947;14057
United States;1948;14559
United States;1949;14112
United States;1950;15241
United States;1951;16126
United States;1952;16443
United States;1953;16917
United States;1954;16513
United States;1955;17370
United States;1956;17398
United States;1957;17407
United States;1958;16945
United States;1959;17901
United States;1960;18058
United States;1961;18175
United States;1962;18977
United States;1963;19515
United States;1964;20360
United States;1965;21390
United States;1966;22529
United States;1967;22842
United States;1968;23692
United States;1969;24196
United States;1970;23958
United States;1971;24395
United States;1972;25415
United States;1973;26603
United States;1974;26287
United States;1975;25956
United States;1976;27059
United States;1977;28001
United States;1978;29287
United States;1979;29951
United States;1980;29613
United States;1981;30056
United States;1982;29211
United States;1983;30159
United States;1984;32076
United States;1985;33024
United States;1986;33851
United States;1987;34730
United States;1988;35865
United States;1989;36757
United States;1990;36982
United States;1991;36464
United States;1992;37241
United States;1993;37762
United States;1994;38808
United States;1995;39391
United States;1996;40414
United States;1997;41723
United States;1998;43073
United States;1999;44576
United States;2000;45887
United States;2001;45878
United States;2002;46267
United States;2003;47158
United States;2004;48493
United States;2005;49655
United States;2006;50490
United States;2007;50902
United States;2008;50276
United States;2009;48453
United States;2010;49267
United States;2011;49675
United States;2012;50394
United States;2013;50863
United States;2014;51664
United States;2015;52591
United States;2016;53015
