date; pm25; pm10; o3; no2; so2; co;AQI
31.12.2013; ;16;29;23;6;4;29
01.01.2014;37;20;26;29;11;5;37
02.01.2014;46;27;31;28;3;5;46
03.01.2014;49;18;27;27;3;5;49
04.01.2014;48;15;24;27;3;5;48
05.01.2014;44;23;28;27;3;4;44
06.01.2014;42;30;28;28;2;6;42
07.01.2014;42;24;22;31;4;6;42
08.01.2014;36;21;24;31;3;6;36
09.01.2014;50;27;15;45;6;8;50
10.01.2014;61;40;2;63;4;9;63
11.01.2014;106;34;12;38;4;9;106
12.01.2014;90;23;24;38;5;7;90
13.01.2014;53;26;15;38;5;7;53
14.01.2014;58;23;23;34;3;6;58
15.01.2014;50;24;25;31;5;5;50
16.01.2014;53;22;28;38;5;4;53
17.01.2014;56;20;14;32;2;2;56
18.01.2014;53;23;18;31;4;3;53
19.01.2014;59;40;2;60;7;7;60
20.01.2014;99;46;16;53;8;8;99
21.01.2014;109;29;16;39;5;4;109
22.01.2014;65;24;17;37;4;4;65
23.01.2014;63;29;13;47;4;4;63
24.01.2014;66;22;26;28;3;3;66
25.01.2014;56;20;25;30;3;4;56
26.01.2014;49;24;25;42;6;5;49
27.01.2014;55;21;22;41;4;4;55
28.01.2014;50;19;17;41;2;8;50
29.01.2014;53;28;4;45;4;15;53
30.01.2014;79;22;17;40;5;7;79
31.01.2014;63;13;21;27;3;4;63
01.02.2014;26;19;21;29;3;5;29
02.02.2014;38;19;16;31;2;4;38
03.02.2014;48;21;25;38;4;6;48
04.02.2014;52;24;29;35;4;6;52
05.02.2014;53;23;28;42;5;7;53
06.02.2014;60;20;28;35;5;7;60
07.02.2014;54;19;30;22;3;5;54
08.02.2014;46;20;30;24;3;5;46
09.02.2014;45;22;17;43;5;6;45
10.02.2014;54;21;24;43;5;7;54
11.02.2014;56;20;26;34;7;3;56
12.02.2014;51;23;26;44;6;3;51
13.02.2014;52;20;31;39;4;4;52
14.02.2014;49;21;31;32;4;6;49
15.02.2014;52;25;20;40;4;5;52
16.02.2014;62;26;19;41;5;3;62
17.02.2014;64;29;19;43;6;5;64
18.02.2014;73;29;19;34;4;3;73
19.02.2014;76;17;21;23;3;1;76
20.02.2014;51;24;25;40;5;3;51
21.02.2014;59;23;24;46;4;4;59
22.02.2014;53;19;29;32;3;3;53
23.02.2014;47;25;27;44;5;3;47
24.02.2014;65;23;30;52;5;4;65
25.02.2014;56;29;13;55;7;8;56
26.02.2014;64;25;21;51;6;2;64
27.02.2014;59;18;15;50;6;1;59
28.02.2014;52;32;15;40;7;2;52
01.03.2014;79;20;26;32;7;1;79
02.03.2014;52;18;22;55;8;2;55
03.03.2014;51;36;11;64;9;4;64
04.03.2014;85;45;14;62;8;5;85
05.03.2014;98;34;27;49;5;5;98
06.03.2014;76;29;18;47;5;6;76
07.03.2014;69; ;24;21;1; ;69
08.03.2014; ;42;28;29;2;5;42
09.03.2014;94;32;27;42;2;3;94
10.03.2014;77;29;26;25; ;2;77
11.03.2014;61;47;9;39;3;4;61
12.03.2014;109;63;17;50;3;4;109
13.03.2014;151;69;19;58;7;4;151
14.03.2014;160;25;29;26;3;1;160
15.03.2014;65;21;31;28;4;1;65
16.03.2014;57;32;17;38;6;2;57
17.03.2014;78;26;25;37;6;2;78
18.03.2014;63;33;24;44;6;5;63
19.03.2014;70;32;32;34;4;3;70
20.03.2014;69;25;30;47;6;7;69
21.03.2014;57;16;33;28;4;7;57
22.03.2014;38;15;31;27;3;6;38
23.03.2014;38;22;28;45;4;7;45
24.03.2014;58;25;26;47;3;4;58
25.03.2014;65;26;21;48;3;3;65
26.03.2014;68;34;19;48;4;2;68
27.03.2014;86;54;15;45;4;3;86
28.03.2014;137;52;31;38;4;3;137
29.03.2014;132;45;29;44;4;4;132
30.03.2014;113;34;27;49;4;3;113
31.03.2014;82;45;17;50;6;4;82
01.04.2014;105;63;12;48;5;4;105
02.04.2014;144;61;11;31;2;4;144
03.04.2014;133;38;25;38;7;5;133
04.04.2014;99;21;23;29;4;2;99
05.04.2014;57;15;22;19;4;1;57
06.04.2014;49;17;23;29;5;2;49
07.04.2014;48;17;32;33;4;2;48
08.04.2014;42;28;25;43;6;3;43
09.04.2014;64;23;25;40;5;3;64
10.04.2014;55;26;27;51;3;4;55
11.04.2014;61;31;27;40;4;7;61
12.04.2014;71;20;31;25;3;4;71
13.04.2014;52;21;28;37;2;3;52
14.04.2014;55;20;25;36;2;5;55
15.04.2014;48;31;33;56;4;9;56
16.04.2014;64;36;29;51;5;8;64
17.04.2014;78;19;32;30;1;7;78
18.04.2014;44;19;32;24;1;7;44
19.04.2014;49;49;28;24;2;9;49
20.04.2014;117;42;25;38;3;9;117
21.04.2014;107;34;27;48;6;10;107
22.04.2014;78;28;27;52;5;9;78
23.04.2014;70;25;22;51;5;10;70
24.04.2014;66;36;21;43;4;9;66
25.04.2014;87;23;32;42;4;9;87
26.04.2014;57;19;25;37;4;8;57
27.04.2014;50;34;25;41;3;8;50
28.04.2014;83;42;25;48;4;9;83
29.04.2014;104;40;36;63;6;9;104
30.04.2014;101;32;25;57;6;6;101
01.05.2014;83;25;30;45;1;3;83
02.05.2014;66;18;35;38;2;3;66
03.05.2014;49;24;41;51;3;5;51
04.05.2014;64;30;47;53;3;5;64
05.05.2014;75;25;34;56;6;6;75
06.05.2014;62;22;28;55;6;5;62
07.05.2014;56;22;28;51;6;6;56
08.05.2014;57;24;30;46;5;4;57
09.05.2014;59;19;27;37;4;3;59
10.05.2014;53;19;29;39;3;3;53
11.05.2014;46;18;27;43;5;4;46
12.05.2014;49;19;20;46;4;3;49
13.05.2014;57;16;28;46;2;2;57
14.05.2014;54;26;28;44;3;3;54
15.05.2014;70;27;27;43;3;3;70
16.05.2014;77;27;31;26;1; ;77
17.05.2014;72;27;49;44;3;4;72
18.05.2014;73;38;41;54;4;4;73
19.05.2014;98;28;38;57;5;5;98
20.05.2014;77;21;27;46;4;3;77
