Year;year1;year2;year3;year4;year5;year6;year7;year8;year9;year10;10ymean
99551-5141;0;0;0;0;0;0;0;0;0;1908;1908
99551-5140;1654;1078;1919;1244;582;729;893;1009;881;670;1065.9
99551-5130;376;771;772;444;676;727;613;780;848;616;662.3
99551-5120;1452;518;838;604;942;1484;1267;1354;746;169;937.4
99551-5110;562;1160;1179;1456;1424;894;844;828;1418;624;1038.9
99551-5100;1007;1513;1795;1380;1207;1052;1405;246;882;707;1119.4
99551-5090;991;1082;1404;1140;839;644;914;969;1511;1172;1066.6
99551-5080;1011;669;1269;1236;1001;1313;1334;1484;1340;1361;1201.8
99551-5070;1124;1255;1110;1372;984;1359;1287;1084;842;300;1071.7
99551-5060;620;621;887;1002;966;968;609;972;917;1244;880.6
99551-5050;940;1249;1233;772;851;872;912;1109;916;1407;1026.1
99551-5040;1723;1687;1592;1063;967;1068;1209;1390;477;997;1217.3
99551-5030;959;981;1324;1085;806;464;384;669;833;732;823.7
99551-5020;367;695;307;595;637;639;743;1138;725;727;657.3
99551-5010;708;584;585;838;777;757;864;929;698;1527;826.7
99551-5000;1487;1533;1280;791;792;1353;1743;1531;842;823;1217.5
99551-4990;693;500;1024;1091;1313;1207;1054;1409;795;1371;1045.7
99551-4980;398;577;1246;1048;580;873;853;1057;923;835;839
99551-4970;317;771;1182;547;1645;1189;1124;1171;1359;438;974.3
99551-4960;716;1042;1115;1280;722;655;725;1033;1389;1014;969.1
99551-4950;46;971;759;929;1048;1024;1151;1115;1131;1262;943.6
99551-4940;1084;1406;1009;1012;308;297;1000;934;867;910;882.7
99551-4930;913;1100;1512;2246;1697;1045;736;1279;981;303;1181.2
99551-4920;887;763;1012;935;951;1344;1027;1226;1399;1250;1079.4
99551-4910;1015;1497;1319;1012;1375;1414;2010;1215;1685;1393;1393.5
99551-4900;1012;614;842;646;507;1395;996;890;920;702;852.4
99551-4890;493;394;468;623;606;597;190;632;1124;1319;644.6
99551-4880;1393;1052;462;1027;887;1051;1460;1417;1164;960;1087.3
99551-4870;652;295;894;914;620;1003;1229;1307;836;809;855.9
99551-4860;797;1087;501;788;206;847;1070;1761;1058;672;878.7
99551-4850;1302;1823;1347;1856;1293;1228;1061;939;1579;1729;1415.7
99551-4840;1261;1381;667;1121;893;827;477;1018;672;483;880
99551-4830;559;528;560;853;646;841;847;894;827;1148;770.3
99551-4820;911;916;620;1002;1697;1630;1072;626;1057;1326;1085.7
99551-4810;1609;711;1765;1164;1201;1302;1439;1878;1274;876;1321.9
99551-4800;863;1067;844;947;1018;1281;1241;682;533;909;938.5
99551-4790;785;608;1473;1073;921;803;1497;904;826;948;983.8
99551-4780;1266;1180;974;888;857;1420;1192;35;454;1072;933.8
99551-4770;952;877;959;996;74;876;1332;973;1306;2208;1055.3
99551-4760;984;1179;1398;400;823;608;966;778;931;1050;911.7
99551-4750;951;977;1050;1519;713;525;741;1119;1650;1328;1057.3
99551-4740;963;646;801;395;1123;1628;1117;1262;1439;1192;1056.6
99551-4730;797;569;1519;820;882;769;1371;782;1096;955;956
99551-4720;775;1041;782;1388;1522;1192;1006;631;897;1369;1060.3
99551-4710;1167;1086;1034;1065;361;1095;681;706;536;669;840
99551-4700;550;342;960;624;689;454;818;571;582;955;654.5
99551-4690;730;1006;972;928;838;818;797;666;825;817;839.7
99551-4680;606;504;682;510;1006;974;999;852;1002;1060;819.5
99551-4670;993;245;1333;1332;993;1156;792;911;1552;1516;1082.3
99551-4660;1375;1199;1200;845;544;1233;896;1061;931;1519;1080.3
99551-4650;909;776;989;1027;1505;2002;1496;1684;1233;848;1246.9
99551-4640;1355;1198;1638;1042;982;599;931;1588;1888;1342;1256.3
99551-4630;1133;1590;305;1105;837;21;432;131;1434;1507;849.5
99551-4620;1434;812;736;1082;1607;160;1028;1495;1064;617;1003.5
99551-4610;359;1705;883;866;984;1140;606;1382;1520;1125;1057
99551-4600;621;964;1132;917;1587;1901;1021;422;594;1169;1032.8
99551-4590;1145;1343;1561;1845;2270;1133;1115;841;732;1288;1327.3
99551-4580;1060;950;1137;895;812;1078;733;1036;258;816;877.5
99551-4570;1460;1020;940;1159;1345;1260;893;932;701;641;1035.1
99551-4560;1150;1128;553;374;400;789;1112;585;690;855;763.6
99551-4550;940;762;1051;913;448;436;844;765;943;1009;811.1
99551-4540;292;504;1011;809;948;1253;512;1567;1723;1970;1058.9
99551-4530;972;1331;1880;571;806;1807;1359;1759;1409;1045;1293.9
99551-4520;1710;1054;1009;501;835;1005;381;620;1168;1027;931
99551-4510;664;1095;1470;937;1054;1393;550;986;1341;1566;1105.6
99551-4500;1082;1027;699;364;1185;189;1152;879;512;631;772
99551-4490;222;100;954;789;50;471;666;568;740;374;493.4
99551-4480;1134;765;573;1145;623;673;1295;803;349;1155;851.5
99551-4470;100;1527;1904;1023;352;1411;673;1753;1261;1593;1159.7
99551-4460;1201;1106;991;1055;1335;1174;861;1161;1400;1078;1136.2
99551-4450;1392;1200;1077;1659;1669;1213;976;1444;844;1425;1289.9
99551-4440;1401;966;948;1142;1190;1363;1436;1394;1060;1370;1227
99551-4430;369;479;885;488;882;1352;1536;1007;948;1517;946.3
99551-4420;1435;894;1540;1149;837;896;1022;861;860;907;1040.1
99551-4410;1261;704;57;521;1045;1238;1196;1629;1970;2178;1179.9
99551-4400;1398;2296;1946;1841;1607;1475;1776;1503;1188;1232;1626.2
99551-4390;1048;1188;1277;877;1169;368;958;1355;701;1156;1009.7
99551-4380;581;898;788;994;1033;336;793;545;1203;926;809.7
99551-4370;1134;1053;1076;1528;300;810;870;688;1076;1025;956
99551-4360;1461;760;950;1130;1412;890;255;524;1039;1238;965.9
99551-4350;1000;1309;1031;878;1285;1255;782;1201;776;1448;1096.5
99551-4340;1702;1262;1210;1279;1043;1129;379;979;1008;1204;1119.5
99551-4330;1168;1311;1492;1344;612;1226;801;1292;1183;1223;1165.2
99551-4320;1273;935;1186;1036;1130;1340;901;1139;1208;948;1109.6
99551-4310;839;991;782;774;1463;772;938;1087;828;1128;960.2
99551-4300;819;740;860;1171;935;1195;1183;1724;1499;1264;1139
99551-4290;1040;950;324;793;1198;1331;1187;1438;1443;781;1048.5
99551-4280;702;1044;1052;1146;1134;1222;1159;1334;951;1116;1086
99551-4270;950;1051;1058;885;976;987;925;413;1127;1435;980.7
99551-4260;1372;1284;1198;69;1075;746;951;1140;1032;984;985.1
99551-4250;1167;1548;641;1021;566;762;652;724;853;1022;895.6
99551-4240;1258;1166;896;1277;929;825;1040;824;625;1110;995
99551-4230;1144;1326;1328;854;955;827;562;962;849;780;958.7
99551-4220;774;1007;917;1144;1077;790;1037;1072;1018;1058;989.4
99551-4210;1340;1167;1011;1392;787;773;838;800;649;700;945.7
99551-4200;385;919;664;766;1137;1081;645;512;772;1241;812.2
99551-4190;1054;1227;1303;900;1341;1048;1086;1338;1542;1429;1226.8
99551-4180;1266;1620;712;913;858;942;1052;1230;996;808;1039.7
99551-4170;348;947;377;440;1096;1130;1463;1103;1076;1188;916.8
99551-4160;441;919;1016;1078;701;930;684;621;771;1052;821.3
99551-4150;1018;984;1027;848;918;903;834;1105;1205;1092;993.4
99551-4140;1098;990;876;397;713;1073;1073;1278;1425;864;978.7
99551-4130;867;442;818;886;879;1106;1200;949;582;1060;878.9
99551-4120;1089;953;1093;999;1043;852;754;859;1283;1026;995.1
99551-4110;829;884;984;889;1063;971;927;145;1087;1044;882.3
99551-4100;688;792;1155;723;707;959;1172;1313;811;808;912.8
