date; pm25; pm10; o3; no2; so2; co;AQI
01.10.2020;91;30;25;12;1;4;91
02.10.2020;65;34;15;15;1;4;65
03.10.2020;71;48;18;20;2;3;71
04.10.2020;66;54;15;19;3;4;66
05.10.2020;78;55;10;20;2;5;78
06.10.2020;114;55;27;21;2;5;114
07.10.2020;106;49;15;23;2;4;106
08.10.2020;76;71;7;25;2;7;76
09.10.2020;125;84;20;26;2;7;125
10.10.2020;151;93;7;24;2;8;151
11.10.2020;138;52;7;23;2;5;138
12.10.2020;92;31;7;21;1;7;92
13.10.2020;88;21;22;17;1;4;88
14.10.2020;46;35;13;23;1;5;46
15.10.2020;81;32;27;18;2;4;81
16.10.2020;62;71;24;28;6;6;71
17.10.2020;109;78;24;28;4;8;109
18.10.2020;140;73;30;31;4;6;140
19.10.2020;124;82;21;32;3;7;124
20.10.2020;122;95;23;27;3;5;122
21.10.2020;113;146;24;38;4;7;146
22.10.2020;161;112;26;32;6;7;161
23.10.2020;157;113;23;31;5;9;157
24.10.2020;164;149;35;38;5;11;164
25.10.2020;182;111;11;38;4;9;182
26.10.2020;138;72;11;27;3;6;138
27.10.2020;97;39;12;23;1;5;97
28.10.2020;83;65;3;23;2;7;83
29.10.2020;122;85;12;25;3;11;122
30.10.2020;162;70;22;20;3;7;162
31.10.2020;93;78;28;27;3;5;93
01.11.2020;114;79;24;30;4;6;114
02.11.2020;118;85;13;33;7;6;118
03.11.2020;141;118;4;47;6;10;141
04.11.2020;177;100;11;43;4;9;177
05.11.2020;177;73;30;26;3;4;177
06.11.2020;94;88;25;30;5;6;94
07.11.2020;124;123;17;47;7;9;124
08.11.2020;163;136;29;43;7;9;163
09.11.2020;176;181;25;48;5;12;181
10.11.2020;191;143;34;46;4;12;191
11.11.2020;209;173;18;53;4;15;209
12.11.2020;243;161;41;37;3;12;243
13.11.2020;228;114;42;24;3;8;228
14.11.2020;195;148;32;41;2;11;195
15.11.2020;235;139;36;34;2;10;235
16.11.2020;214;82;26;22;1;7;214
17.11.2020;153;63;31;18;2;4;153
18.11.2020;81;73;19;31;3;6;81
19.11.2020;136;59;9;21;3;8;136
20.11.2020;124;26;12;15;1;4;124
21.11.2020;86;31;14;19;2;3;86
22.11.2020;79;25;15;20;2;3;79
23.11.2020;74;57;9;16;2;7;74
24.11.2020;145;56;6;18;2;8;145
25.11.2020;132;75;7;29;2;10;132
26.11.2020;143;85;16;29;3;10;143
27.11.2020;169;71;21;22;4;6;169
28.11.2020;165;72;22;25;3;7;165
29.11.2020;167;92;9;26;6;11;167
30.11.2020;178;99;2;20;3;10;178
01.12.2020;188;77;7;17;2;10;188
02.12.2020;169;45;16;16;3;4;169
03.12.2020;92;56;10;21;4;4;92
04.12.2020;111;73;13;22;4;6;111
05.12.2020;157;89;10;21;16;8;157
06.12.2020;176;88;9;22;11;10;176
07.12.2020;169;83;11;23;6;9;169
08.12.2020;165;75;13;22;5;7;165
09.12.2020;174;93;12;33;4;9;174
10.12.2020;165;110;11;37;5;10;165
11.12.2020;186;128;6;42;5;12;186
12.12.2020;207;88;19;20;3;3;207
13.12.2020;91;73;15;22;4;3;91
14.12.2020;100;88;7;25;4;6;100
15.12.2020;163;103;9;31;6;9;163
16.12.2020;169;90;16;31;7;9;169
17.12.2020;173;65;14;27;5;7;173
18.12.2020;132;102;13;37;6;10;132
19.12.2020;161;94;7;42;6;10;161
20.12.2020;166;109;13;41;8;11;166
21.12.2020;179;117;22;39;7;12;179
22.12.2020;213;98;23;22;5;6;213
23.12.2020;120;88;21;30;6;9;120
24.12.2020;149;107;7;38;8;12;149
25.12.2020;176;93;20;32;9;10;176
26.12.2020;174;138;19;41;9;15;174
27.12.2020;225;125;13;36;7;14;225
28.12.2020;213;48;26;11;4;2;213
29.12.2020;50;43;23;12;4;3;50
30.12.2020;59;59;16;24;6;6;59
31.12.2020;118;82;10;35;5;9;118
01.01.2021;164;120;11;41;12;15;164
02.01.2021;192;145;12;44;9;15;192
03.01.2021;201; ; ; ; ; ;201
01.07.2020;126;55;102;25;2;4;126
02.07.2020;80;73;85;25;2;5;85
03.07.2020;128;69;88;17;2;5;128
04.07.2020;128;67;103;19;2;6;128
05.07.2020;119;63;125;23;2;5;125
06.07.2020;104;64;109;22;3;5;109
07.07.2020;104;55;82;11;2;3;104
08.07.2020;102;54;125;13;2;4;125
09.07.2020;98;62;42;15;1;5;98
10.07.2020;125;35;37;10;1;4;125
11.07.2020;75;22;60;8;1;3;75
12.07.2020;55;40;66;18;2;5;66
13.07.2020;79;43;31;18;1;4;79
14.07.2020;79;48;65;11;1;5;79
15.07.2020;98;42;26;18;1;4;98
16.07.2020;76;27;36;11;1;4;76
17.07.2020;62;42;25;14;1;4;62
18.07.2020;59;32;53;10;2;3;59
19.07.2020;49;48;60;18;2;3;60
20.07.2020;88;38;28;12;2;4;88
21.07.2020;85;32;27;12;1;4;85
22.07.2020;63;50;35;12;1;7;63
23.07.2020;98;58;37;11;1;7;98
24.07.2020;113;43;23;9;1;7;113
25.07.2020;84;45;66;17;1;7;84
26.07.2020;66;70;102;17;1;5;102
27.07.2020;123;91;52;23;1;7;123
28.07.2020;140;77;60;20;1;6;140
29.07.2020;114;47;48;14;1;5;114
30.07.2020;84;50;76;19;1;5;84
31.07.2020;88;75;29;20;1;6;88
01.08.2020;125;37;83;12;1;4;125
02.08.2020;69;59;48;26;1;5;69
03.08.2020;97;50;53;15;1;4;97
04.08.2020;78;63;70;15;1;4;78
05.08.2020;104;53;21;12;1;5;104
06.08.2020;102;27;18;13;1;9;102
